expected step
exploit, step:      1, spool: 0.00, diameter: 33.30, speed: 79.52, motorV: 23.77, extfrq: 18.73, target: 55.00, greedy_m: 23.77, greedy_e: 18.73, reward: -1.170, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:      2, spool: 0.01, diameter: 31.60, speed: 79.76, motorV: 24.77, extfrq: 19.40, target: 55.00, greedy_m: 24.77, greedy_e: 19.40, reward: -1.331, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:      3, spool: 0.03, diameter: 30.20, speed: 76.72, motorV: 26.80, extfrq: 20.86, target: 55.00, greedy_m: 26.80, greedy_e: 20.86, reward: -1.470, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:      4, spool: 0.05, diameter: 31.90, speed: 65.12, motorV: 30.01, extfrq: 23.27, target: 55.00, greedy_m: 30.01, greedy_e: 23.27, reward: -1.300, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:      5, spool: 0.06, diameter: 30.50, speed: 55.92, motorV: 34.25, extfrq: 26.65, target: 55.00, greedy_m: 34.25, greedy_e: 26.65, reward: -1.438, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:      6, spool: 0.08, diameter: 35.40, speed: 50.00, motorV: 39.23, extfrq: 30.89, target: 55.00, greedy_m: 39.23, greedy_e: 30.89, reward: -0.947, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:      7, spool: 0.10, diameter: 35.20, speed: 46.72, motorV: 44.66, extfrq: 35.80, target: 55.00, greedy_m: 44.66, greedy_e: 35.80, reward: -0.965, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:      8, spool: 0.12, diameter: 32.00, speed: 46.08, motorV: 50.23, extfrq: 41.17, target: 55.00, greedy_m: 50.23, greedy_e: 41.17, reward: -1.282, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:      9, spool: 0.14, diameter: 33.70, speed: 47.44, motorV: 55.61, extfrq: 46.79, target: 55.00, greedy_m: 55.61, greedy_e: 46.79, reward: -1.109, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:     10, spool: 0.17, diameter: 32.50, speed: 49.60, motorV: 60.47, extfrq: 52.52, target: 55.00, greedy_m: 60.47, greedy_e: 52.52, reward: -1.227, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     11, spool: 0.20, diameter: 31.10, speed: 53.68, motorV: 64.59, extfrq: 58.24, target: 55.00, greedy_m: 64.59, greedy_e: 58.24, reward: -1.364, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     12, spool: 0.23, diameter: 35.00, speed: 57.92, motorV: 68.22, extfrq: 63.81, target: 55.00, greedy_m: 68.22, greedy_e: 63.81, reward: -0.971, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     13, spool: 0.26, diameter: 37.30, speed: 61.92, motorV: 71.33, extfrq: 69.13, target: 55.00, greedy_m: 71.33, greedy_e: 69.13, reward: -0.738, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:     14, spool: 0.30, diameter: 37.30, speed: 65.52, motorV: 73.80, extfrq: 74.10, target: 55.00, greedy_m: 73.80, greedy_e: 74.10, reward: -0.735, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     15, spool: 0.33, diameter: 37.90, speed: 68.96, motorV: 75.56, extfrq: 78.63, target: 55.00, greedy_m: 75.56, greedy_e: 78.63, reward: -0.673, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     16, spool: 0.37, diameter: 41.60, speed: 72.48, motorV: 76.65, extfrq: 82.69, target: 55.00, greedy_m: 76.65, greedy_e: 82.69, reward: -0.301, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:     17, spool: 0.41, diameter: 42.70, speed: 75.12, motorV: 77.20, extfrq: 86.24, target: 55.00, greedy_m: 77.20, greedy_e: 86.24, reward: -0.189, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:     18, spool: 0.45, diameter: 38.80, speed: 76.64, motorV: 77.35, extfrq: 89.21, target: 55.00, greedy_m: 77.35, greedy_e: 89.21, reward: -0.577, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     19, spool: 0.49, diameter: 36.80, speed: 78.40, motorV: 77.23, extfrq: 91.53, target: 55.00, greedy_m: 77.23, greedy_e: 91.53, reward: -0.775, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:     20, spool: 0.53, diameter: 35.90, speed: 79.60, motorV: 76.93, extfrq: 93.30, target: 55.00, greedy_m: 76.93, greedy_e: 93.30, reward: -0.864, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:     21, spool: 0.58, diameter: 33.80, speed: 79.84, motorV: 76.44, extfrq: 94.79, target: 55.00, greedy_m: 76.44, greedy_e: 94.79, reward: -1.073, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:     22, spool: 0.62, diameter: 34.70, speed: 79.92, motorV: 75.58, extfrq: 95.85, target: 55.00, greedy_m: 75.58, greedy_e: 95.85, reward: -0.983, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:     23, spool: 0.67, diameter: 32.60, speed: 80.16, motorV: 74.19, extfrq: 96.06, target: 55.00, greedy_m: 74.19, greedy_e: 96.06, reward: -1.192, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:     24, spool: 0.71, diameter: 31.70, speed: 79.68, motorV: 72.24, extfrq: 95.57, target: 55.00, greedy_m: 72.24, greedy_e: 95.57, reward: -1.282, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:     25, spool: 0.76, diameter: 31.20, speed: 78.48, motorV: 70.07, extfrq: 94.59, target: 55.00, greedy_m: 70.07, greedy_e: 94.59, reward: -1.332, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:     26, spool: 0.80, diameter: 31.20, speed: 77.76, motorV: 68.10, extfrq: 93.21, target: 55.00, greedy_m: 68.10, greedy_e: 93.21, reward: -1.333, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:     27, spool: 0.84, diameter: 34.00, speed: 76.56, motorV: 66.36, extfrq: 91.43, target: 55.00, greedy_m: 66.36, greedy_e: 91.43, reward: -1.053, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:     28, spool: 0.89, diameter: 31.20, speed: 74.72, motorV: 64.80, extfrq: 89.21, target: 55.00, greedy_m: 64.80, greedy_e: 89.21, reward: -1.334, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:     29, spool: 0.93, diameter: 31.30, speed: 73.12, motorV: 63.44, extfrq: 86.60, target: 55.00, greedy_m: 63.44, greedy_e: 86.60, reward: -1.325, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:     30, spool: 0.97, diameter: 34.20, speed: 71.76, motorV: 62.29, extfrq: 83.82, target: 55.00, greedy_m: 62.29, greedy_e: 83.82, reward: -1.037, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.277
exploit, step:     31, spool: 1.01, diameter: 31.80, speed: 70.40, motorV: 61.54, extfrq: 81.10, target: 55.00, greedy_m: 61.54, greedy_e: 81.10, reward: -1.278, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     32, spool: 1.05, diameter: 35.00, speed: 68.80, motorV: 60.99, extfrq: 78.53, target: 55.00, greedy_m: 60.99, greedy_e: 78.53, reward: -0.959, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     33, spool: 1.09, diameter: 36.30, speed: 67.92, motorV: 60.57, extfrq: 77.08, target: 55.00, greedy_m: 60.57, greedy_e: 77.08, reward: -0.831, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:     34, spool: 1.12, diameter: 36.20, speed: 67.44, motorV: 60.96, extfrq: 75.81, target: 55.00, greedy_m: 60.96, greedy_e: 75.81, reward: -0.841, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:     35, spool: 1.16, diameter: 35.70, speed: 66.80, motorV: 61.85, extfrq: 74.96, target: 55.00, greedy_m: 61.85, greedy_e: 74.96, reward: -0.892, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:     36, spool: 1.20, diameter: 37.50, speed: 65.84, motorV: 62.75, extfrq: 74.37, target: 55.00, greedy_m: 62.75, greedy_e: 74.37, reward: -0.713, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:     37, spool: 1.23, diameter: 38.10, speed: 66.00, motorV: 63.45, extfrq: 74.03, target: 55.00, greedy_m: 63.45, greedy_e: 74.03, reward: -0.653, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:     38, spool: 1.27, diameter: 38.40, speed: 66.40, motorV: 63.82, extfrq: 73.89, target: 55.00, greedy_m: 63.82, greedy_e: 73.89, reward: -0.623, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     39, spool: 1.31, diameter: 40.80, speed: 66.80, motorV: 63.81, extfrq: 73.89, target: 55.00, greedy_m: 63.81, greedy_e: 73.89, reward: -0.383, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:     40, spool: 1.34, diameter: 40.60, speed: 66.96, motorV: 63.49, extfrq: 73.99, target: 55.00, greedy_m: 63.49, greedy_e: 73.99, reward: -0.403, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     41, spool: 1.38, diameter: 42.50, speed: 67.36, motorV: 63.00, extfrq: 74.21, target: 55.00, greedy_m: 63.00, greedy_e: 74.21, reward: -0.213, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:     42, spool: 1.41, diameter: 43.70, speed: 67.76, motorV: 62.42, extfrq: 74.58, target: 55.00, greedy_m: 62.42, greedy_e: 74.58, reward: -0.093, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:     43, spool: 1.45, diameter: 44.40, speed: 67.76, motorV: 61.74, extfrq: 75.11, target: 55.00, greedy_m: 61.74, greedy_e: 75.11, reward: -0.023, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:     44, spool: 1.49, diameter: 46.80, speed: 67.20, motorV: 61.06, extfrq: 75.90, target: 55.00, greedy_m: 61.06, greedy_e: 75.90, reward: 0.218, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:     45, spool: 1.52, diameter: 47.90, speed: 66.88, motorV: 60.84, extfrq: 76.61, target: 55.00, greedy_m: 60.84, greedy_e: 76.61, reward: 0.328, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
